SQ1,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7,SQ8,SQ9,row,column,winner
-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,2
-1,-1,-1,-1,0,-1,1,-1,-1,1,2,2
-1,-1,-1,-1,0,1,1,-1,-1,2,1,2
-1,-1,-1,-1,0,1,1,0,-1,0,0,2
1,-1,-1,-1,0,1,1,0,-1,0,1,2
-1,-1,-1,-1,-1,1,-1,-1,-1,2,0,2
-1,-1,-1,-1,-1,1,0,-1,-1,0,2,2
-1,-1,1,-1,-1,1,0,-1,-1,2,1,2
-1,-1,1,-1,-1,1,0,0,-1,0,1,2
-1,1,1,-1,-1,1,0,0,-1,2,2,2
-1,-1,-1,-1,-1,1,-1,-1,-1,2,0,2
-1,-1,-1,-1,-1,1,0,-1,-1,1,0,2
-1,-1,-1,1,-1,1,0,-1,-1,2,2,2
-1,-1,-1,1,-1,1,0,-1,0,0,1,2
-1,1,-1,1,-1,1,0,-1,0,0,2,2
-1,1,0,1,-1,1,0,-1,0,0,0,2
1,1,0,1,-1,1,0,-1,0,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,1,2,2
-1,1,-1,-1,-1,0,-1,-1,-1,2,1,2
-1,1,-1,-1,-1,0,-1,1,-1,1,1,2
-1,1,-1,-1,0,0,-1,1,-1,0,0,2
1,1,-1,-1,0,0,-1,1,-1,0,2,2
1,1,0,-1,0,0,-1,1,-1,2,0,2
1,1,0,-1,0,0,1,1,-1,2,2,2
-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,2
0,-1,-1,-1,-1,-1,-1,-1,1,2,0,2
0,-1,-1,-1,-1,-1,1,-1,1,1,2,2
0,-1,-1,-1,-1,0,1,-1,1,0,1,2
0,1,-1,-1,-1,0,1,-1,1,1,1,2
0,1,-1,-1,0,0,1,-1,1,0,2,2
0,1,1,-1,0,0,1,-1,1,1,0,2
-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,2
-1,-1,-1,0,-1,-1,1,-1,-1,0,0,2
1,-1,-1,0,-1,-1,1,-1,-1,1,1,2
1,-1,-1,0,0,-1,1,-1,-1,0,2,2
1,-1,1,0,0,-1,1,-1,-1,1,2,2
-1,1,-1,-1,-1,-1,-1,-1,-1,2,2,2
-1,1,-1,-1,-1,-1,-1,-1,0,2,1,2
-1,1,-1,-1,-1,-1,-1,1,0,2,0,2
-1,1,-1,-1,-1,-1,0,1,0,1,2,2
-1,1,-1,-1,-1,1,0,1,0,0,0,2
0,1,-1,-1,-1,1,0,1,0,0,2,2
0,1,1,-1,-1,1,0,1,0,1,0,2
-1,-1,-1,-1,-1,1,-1,-1,-1,2,0,2
-1,-1,-1,-1,-1,1,0,-1,-1,1,0,2
-1,-1,-1,1,-1,1,0,-1,-1,0,0,2
0,-1,-1,1,-1,1,0,-1,-1,0,2,2
0,-1,1,1,-1,1,0,-1,-1,2,2,2
0,-1,1,1,-1,1,0,-1,0,0,1,2
0,1,1,1,-1,1,0,-1,0,2,1,2
-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,2
0,-1,-1,-1,-1,-1,1,-1,-1,1,0,2
0,-1,-1,1,-1,-1,1,-1,-1,1,1,2
0,-1,-1,1,0,-1,1,-1,-1,1,2,2
0,-1,-1,1,0,1,1,-1,-1,0,2,2
0,-1,0,1,0,1,1,-1,-1,0,1,2
0,1,0,1,0,1,1,-1,-1,2,2,2
-1,-1,-1,-1,-1,-1,1,-1,-1,1,2,2
-1,-1,-1,-1,-1,0,1,-1,-1,0,1,2
-1,1,-1,-1,-1,0,1,-1,-1,0,2,2
-1,1,0,-1,-1,0,1,-1,-1,0,0,2
1,1,0,-1,-1,0,1,-1,-1,1,1,2
1,1,0,-1,0,0,1,-1,-1,2,1,2
1,1,0,-1,0,0,1,1,-1,1,0,2
-1,1,-1,-1,-1,-1,-1,-1,-1,0,0,2
0,1,-1,-1,-1,-1,-1,-1,-1,1,1,2
0,1,-1,-1,1,-1,-1,-1,-1,2,0,2
0,1,-1,-1,1,-1,0,-1,-1,0,2,2
0,1,1,-1,1,-1,0,-1,-1,1,0,2
-1,-1,-1,-1,-1,1,-1,-1,-1,0,1,2
-1,0,-1,-1,-1,1,-1,-1,-1,2,1,2
-1,0,-1,-1,-1,1,-1,1,-1,1,1,2
-1,0,-1,-1,0,1,-1,1,-1,2,2,2
-1,0,-1,-1,0,1,-1,1,1,0,2,2
-1,0,0,-1,0,1,-1,1,1,1,0,2
-1,0,0,1,0,1,-1,1,1,0,0,2
-1,-1,-1,-1,-1,1,-1,-1,-1,0,2,2
-1,-1,0,-1,-1,1,-1,-1,-1,2,2,2
-1,-1,0,-1,-1,1,-1,-1,1,2,0,2
-1,-1,0,-1,-1,1,0,-1,1,0,0,2
1,-1,0,-1,-1,1,0,-1,1,1,1,2
-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,2
-1,-1,-1,-1,0,-1,1,-1,-1,0,1,2
-1,1,-1,-1,0,-1,1,-1,-1,0,2,2
-1,1,0,-1,0,-1,1,-1,-1,1,0,2
-1,1,0,1,0,-1,1,-1,-1,0,0,2
0,1,0,1,0,-1,1,-1,-1,1,2,2
0,1,0,1,0,1,1,-1,-1,2,2,2
-1,-1,1,-1,-1,-1,-1,-1,-1,1,2,2
-1,-1,1,-1,-1,0,-1,-1,-1,0,1,2
-1,1,1,-1,-1,0,-1,-1,-1,2,1,2
-1,1,1,-1,-1,0,-1,0,-1,1,0,2
-1,1,1,1,-1,0,-1,0,-1,2,0,2
-1,1,1,1,-1,0,0,0,-1,1,1,2
-1,1,1,1,1,0,0,0,-1,2,2,2
1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2
1,-1,-1,-1,-1,-1,-1,0,-1,2,2,2
1,-1,-1,-1,-1,-1,-1,0,1,2,0,2
1,-1,-1,-1,-1,-1,0,0,1,0,1,2
1,1,-1,-1,-1,-1,0,0,1,0,2,2
1,1,0,-1,-1,-1,0,0,1,1,0,2
1,1,0,1,-1,-1,0,0,1,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,2,2,2
-1,1,-1,-1,-1,-1,-1,-1,0,2,1,2
-1,1,-1,-1,-1,-1,-1,1,0,1,2,2
-1,1,-1,-1,-1,0,-1,1,0,0,2,2
-1,1,1,-1,-1,0,-1,1,0,1,1,2
-1,1,1,-1,0,0,-1,1,0,2,0,2
-1,1,1,-1,0,0,1,1,0,0,0,2
-1,1,-1,-1,-1,-1,-1,-1,-1,2,1,2
-1,1,-1,-1,-1,-1,-1,0,-1,1,0,2
-1,1,-1,1,-1,-1,-1,0,-1,1,1,2
-1,1,-1,1,0,-1,-1,0,-1,1,2,2
-1,1,-1,1,0,1,-1,0,-1,2,2,2
-1,1,-1,1,0,1,-1,0,0,0,2,2
-1,1,1,1,0,1,-1,0,0,2,0,2
-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,2
-1,-1,-1,1,0,-1,-1,-1,-1,0,0,2
1,-1,-1,1,0,-1,-1,-1,-1,2,0,2
1,-1,-1,1,0,-1,0,-1,-1,0,1,2
1,1,-1,1,0,-1,0,-1,-1,1,2,2
1,1,-1,1,0,0,0,-1,-1,2,1,2
1,1,-1,1,0,0,0,1,-1,0,2,2
-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2
-1,-1,-1,-1,-1,0,-1,-1,1,0,1,2
-1,1,-1,-1,-1,0,-1,-1,1,1,1,2
-1,1,-1,-1,0,0,-1,-1,1,2,1,2
-1,1,-1,-1,0,0,-1,1,1,0,2,2
-1,1,0,-1,0,0,-1,1,1,1,0,2
-1,1,0,1,0,0,-1,1,1,2,0,2
-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,2
-1,1,-1,-1,0,-1,-1,-1,-1,0,2,2
-1,1,1,-1,0,-1,-1,-1,-1,0,0,2
0,1,1,-1,0,-1,-1,-1,-1,2,0,2
0,1,1,-1,0,-1,1,-1,-1,2,2,2
-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,2
-1,-1,1,0,-1,-1,-1,-1,-1,0,1,2
-1,1,1,0,-1,-1,-1,-1,-1,1,2,2
-1,1,1,0,-1,0,-1,-1,-1,2,0,2
-1,1,1,0,-1,0,1,-1,-1,1,1,2
-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,2
-1,-1,1,-1,0,-1,-1,-1,-1,2,0,2
-1,-1,1,-1,0,-1,1,-1,-1,0,1,2
-1,0,1,-1,0,-1,1,-1,-1,1,0,2
-1,0,1,1,0,-1,1,-1,-1,2,1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,2
1,-1,0,-1,-1,-1,-1,-1,-1,2,2,2
1,-1,0,-1,-1,-1,-1,-1,1,1,1,2
1,-1,0,-1,0,-1,-1,-1,1,0,1,2
1,1,0,-1,0,-1,-1,-1,1,1,0,2
1,1,0,0,0,-1,-1,-1,1,2,1,2
1,1,0,0,0,-1,-1,1,1,2,0,2
-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,2
-1,-1,-1,0,-1,-1,-1,1,-1,0,0,2
1,-1,-1,0,-1,-1,-1,1,-1,1,1,2
1,-1,-1,0,0,-1,-1,1,-1,0,2,2
1,-1,1,0,0,-1,-1,1,-1,0,1,2
1,0,1,0,0,-1,-1,1,-1,2,2,2
1,0,1,0,0,-1,-1,1,1,1,2,2
-1,-1,-1,-1,-1,-1,-1,1,-1,0,0,2
0,-1,-1,-1,-1,-1,-1,1,-1,0,1,2
0,1,-1,-1,-1,-1,-1,1,-1,1,1,2
0,1,-1,-1,0,-1,-1,1,-1,1,0,2
0,1,-1,1,0,-1,-1,1,-1,1,2,2
0,1,-1,1,0,0,-1,1,-1,0,2,2
0,1,1,1,0,0,-1,1,-1,2,2,2
-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,2
-1,-1,-1,-1,0,-1,1,-1,-1,2,1,2
-1,-1,-1,-1,0,-1,1,1,-1,1,0,2
-1,-1,-1,0,0,-1,1,1,-1,0,0,2
1,-1,-1,0,0,-1,1,1,-1,2,2,2
1,-1,-1,0,0,-1,1,1,0,0,1,2
1,1,-1,0,0,-1,1,1,0,1,2,2
-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,2
0,-1,-1,-1,1,-1,-1,-1,-1,1,2,2
0,-1,-1,-1,1,1,-1,-1,-1,2,0,2
0,-1,-1,-1,1,1,0,-1,-1,0,2,2
